,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,İpoteka,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date
95,Yeni tikili,13 / 17,138 m²,3,yoxdur,,,245000,AZN,"Nəriman Nərimanov parkı ,Nəriman Nərimanov m.,Rəssamlıq Akademiyası ,Nərimanov r.",40.39414959485713,Bakı,49.7993946075439,3125639,28 Fevral 2023 
96,Yeni tikili,4 / 13,200 m²,5,var,,,650000,AZN,"Rusiya səfirliyi ,Park Zorge ,Zabitlər parkı ,Sevil Qazıyeva parkı ,Koala parkı ,Dostluq kinoteatrı ,Sirk ,Azərbaycan Dillər Universiteti ,Nəsimi bazarı ,Bakı Slavyan Universiteti ,M.Hüseynzadə parkı ,Tibb Universiteti ,Nəsimi r.",40.38499730777751,Bakı,49.83810424804688,3126252,21 Dekabr 2022 
97,Yeni tikili,8 / 12,186 m²,4,var,var,var,359000,AZN,"Azərbaycan turizm institutu ,Respublika stadionu ,Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Gənclik m.,Rəssamlıq Akademiyası ,Təhsil Nazirliyi ,Nərimanov r.",40.38499730777751,Bakı,49.84222412109375,3126254,29 Dekabr 2022 
98,Köhnə tikili,5 / 5,75 m²,4,var,,,103000,AZN,"Memar Əcəmi m.,Zərifə Əliyeva adına park ,Nəsimi r.,4-cü mikrorayon q.",40.39980377915154,Bakı,49.86642837524414,3126266,27 Yanvar 2023 
99,Köhnə tikili,7 / 9,100 m²,4,var,,,140000,AZN,"Yasamal r.,Yeni Yasamal q.",40.37520939853896,Bakı,49.84099855135474,3127266,29 Dekabr 2022 
100,Yeni tikili,5 / 17,225 m²,4,yoxdur,,,449000,AZN,"Tibb Universiteti ,İdman kompleksi ,Sevil Qazıyeva parkı ,Rusiya səfirliyi ,M.Hüseynzadə parkı ,Park Zorge ,İzmir parkı ,ASAN Xidmət №1 ,Nəsimi bazarı ,Nəsimi r.",40.39414959485713,Bakı,49.7993946075439,3127273,20 Yanvar 2023 
101,Yeni tikili,7 / 21,27 m²,1,var,,,67000,AZN,"Yasamal bazarı ,İnşaatçılar m.,ASAN Xidmət №3 ,Yasamal r.,Yasamal q.",40.3651072257085,Bakı,49.81950849294662,3127281,29 Dekabr 2022 
102,Yeni tikili,3 / 17,178 m²,4,var,,,412000,AZN,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Rəssamlıq Akademiyası ,Nərimanov r.",40.40277297788222,Bakı,49.87078022438958,3127294,02 Yanvar 2023 
103,Yeni tikili,2 / 22,100 m²,2,yoxdur,,,135000,AZN,"Sabunçu r.,Bakıxanov q.",40.41932422288878,Bakı,49.92522239685059,3127308,28 Yanvar 2023 
104,Köhnə tikili,1 / 9,100 m²,4,var,,,145000,AZN,"Şah İsmayıl Xətai m.,ASAN Xidmət №2 ,Ağ şəhər ,Xətai r.",40.37742938831814,Bakı,49.80915784835819,3127315,29 Noyabr 2022 
105,Yeni tikili,2 / 19,80 m²,3,var,var,var,135000,AZN,"Həzi Aslanov m.,Ukrayna dairəsi ,Xətai r.",40.38781667161964,Bakı,49.85220193862915,3128258,30 Dekabr 2022 
106,Köhnə tikili,3 / 3,70 m²,3,var,,,219000,AZN,"Fontanlar bağı ,Xalça Muzeyi ,Azərbaycan kinoteatrı ,Sahil m.,Mərkəzi Univermaq ,M.Ə.Sabir parkı ,Malokan bağı ,Nizami kinoteatrı ,Sahil bağı ,İçəri Şəhər ,İqsadiyyat Universiteti ,Milli Konservatoriya ,Pedaqoji Universiteti ,Qış parkı ,İçəri Şəhər m.,Bakı Musiqi Akademiyası ,Beşmərtəbə ,Azneft meydanı ,Axundov bağı ,Dövlət İdarəçilik Akademiyası ,Səbail r.",40.3863784022024,Bakı,49.84768509864811,3130024,30 Dekabr 2022 
107,Köhnə tikili,1 / 4,47 m²,2,var,,,54500,AZN,Sumqayıt,40.589694,Sumqayıt,49.66787920000002,3130027,30 Dekabr 2022 
108,Köhnə tikili,5 / 9,100 m²,4,var,,,215000,AZN,"Qara Qarayev m.,Nizami r.",40.38080859350129,Bakı,49.95724192764082,3130039,30 Dekabr 2022 
109,Yeni tikili,14 / 14,52 m²,2,yoxdur,,,80000,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.4089166,Bakı,49.86399959999994,3130040,01 Dekabr 2022 
110,Köhnə tikili,4 / 5,50 m²,2,var,,,119500,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.37371049868611,Bakı,49.83537912368774,3131637,31 Dekabr 2022 
111,Yeni tikili,9 / 17,122 m²,3,var,var,var,285000,AZN,"Şərq bazarı ,Zoopark ,28 May m.,Səməd Vurğun parkı ,Bakı Slavyan Universiteti ,Təhsil Nazirliyi ,Neft Akademiyası ,Nərimanov r.",40.37998753828459,Bakı,49.85486268997196,3131638,18 Mart 2023 
