,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date,İpoteka
312,Köhnə tikili,2 / 3,55 m²,2,var,,135000,AZN,"Axundov bağı ,Prezident parkı ,Dövlət İdarəçilik Akademiyası ,Nərimanov heykəli ,Qubernator parkı ,Şəlalə parkı ,İçəri Şəhər m.,İqsadiyyat Universiteti ,Sovetski ,Səbail r.",40.37702072916624,Bakı,49.84645128250122,3251589,10 Fevral 2023 ,
313,Yeni tikili,2 / 10,156 m²,3,var,yoxdur,483600,AZN,"Dövlət İdarəçilik Akademiyası ,İçəri Şəhər m.,İqsadiyyat Universiteti ,Axundov bağı ,Qubernator parkı ,Prezident parkı ,M.Ə.Sabir parkı ,İçəri Şəhər ,Səbail r.",40.41913797142315,Bakı,49.92514979797704,3254307,28 Fevral 2023 ,var
314,Köhnə tikili,3 / 5,38 m²,1,var,,98000,AZN,"Dövlət Statistika Komitəsi ,İncəsənət və Mədəniyyət Un. ,Nizami m.,Elmlər Akademiyası m.,Yasamal r.",40.39980377915154,Bakı,49.86642837524414,3254313,05 Mart 2023 ,
315,Yeni tikili,6 / 12,82 m²,2,yoxdur,,103000,AZN,Xətai r.,40.39989258617802,Bakı,49.83979431395813,3255479,05 Fevral 2023 ,
316,Yeni tikili,13 / 18,50 m²,2,var,var,100500,AZN,"20 Yanvar m.,Yasamal r.,Yasamal q.",40.3863886681378,Bakı,49.80817391355895,3255481,04 Fevral 2023 ,var
317,Yeni tikili,11 / 16,82 m²,2,var,,138000,AZN,"Bakı Dövlət Universiteti ,Elmlər Akademiyası m.,Yasamal r.,Yasamal q.",40.40210780478213,Bakı,49.85758781433109,3255892,23 Fevral 2023 ,
318,Yeni tikili,11 / 11,56 m²,1,,,91500,AZN,"İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.",40.39327778252743,Bakı,49.79329280148936,3255898,06 Mart 2023 ,
319,Yeni tikili,14 / 16,96 m²,3,var,,205000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.38264366149726,Bakı,49.87209320068359,3255911,06 Mart 2023 ,
320,Köhnə tikili,3 / 5,90 m²,3,var,,174000,AZN,"Nərimanov heykəli ,Sovetski ,Axundov bağı ,Prezident parkı ,İçəri Şəhər m.,Yasamal r.",40.40027766320492,Bakı,49.84006762504578,3255921,26 Fevral 2023 ,
321,Yeni tikili,11 / 19,176 m²,4,yoxdur,,395000,AZN,"ASAN Xidmət №1 ,Nəsimi bazarı ,Nəsimi r.",40.37620916175648,Bakı,49.81580107043555,3255992,06 Mart 2023 ,
322,Yeni tikili,6 / 16,57 m²,2,var,,133000,AZN,Xətai r.,40.40152503521376,Bakı,49.86131862059725,3256542,06 Mart 2023 ,
323,Köhnə tikili,5 / 5,47 m²,2,var,,110000,AZN,"Elmlər Akademiyası m.,Yasamal r.",40.37660389427779,Bakı,49.8131650686264,3256606,13 Fevral 2023 ,
324,Yeni tikili,3 / 8,102 m²,3,yoxdur,,243600,AZN,"Xətai r.,Ağ şəhər q.",40.3765957210189,Bakı,49.85243260860443,3257061,16 Mart 2023 ,
325,Yeni tikili,2 / 7,51 m²,2,yoxdur,,58000,AZN,Xırdalan,40.4609236054629,Xırdalan,49.72437858581543,3259284,07 Mart 2023 ,
