Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,locations,latitude,city,longitude,date,Təmir,İpoteka
Yeni tikili,1 / 12,60 m²,2,var,105000,"Səbail r.,Badamdar q.",40.38816806232006,Bakı,49.83243942260742,30 Oktyabr 2022 ,,
Köhnə tikili,6 / 9,100 m²,3,var,220000,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.40481309592228,Bakı,49.86986696720127,30 Oktyabr 2022 ,,
Yeni tikili,7 / 16,200 m²,4,var,520000,"Beşmərtəbə ,Nizami m.,Yasamal r.",40.37512451826901,Bakı,49.81611013412476,09 Mart 2023 ,,
Köhnə tikili,9 / 9,60 m²,3,var,92000,Xətai r.,40.35301948389108,Bakı,49.96281066570914,01 Mart 2023 ,var,var
Yeni tikili,4 / 23,147 m²,3,var,280000,"İdman kompleksi ,İzmir parkı ,Nəsimi r.",40.38274990424748,Bakı,49.8084390163422,30 Oktyabr 2022 ,,
Yeni tikili,14 / 17,80 m²,2,var,140000,"Xətai r.,Əhmədli q.",40.37013713050535,Bakı,49.93973940991216,30 Oktyabr 2022 ,,
Yeni tikili,3 / 12,60 m²,2,var,88000,"Yasamal r.,Yeni Yasamal q.",40.394,Bakı,49.795,30 Oktyabr 2022 ,,
Köhnə tikili,2 / 5,90 m²,4,var,169000,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.40481309592228,Bakı,49.86986696720127,30 Oktyabr 2022 ,,
Yeni tikili,12 / 16,160 m²,4,var,295000,"Bakı Dövlət Universiteti ,Memarlıq və İnşaat Universiteti ,Elmlər Akademiyası m.,Yasamal r.",40.40761426997893,Bakı,49.80840682983398,30 Oktyabr 2022 ,,
Köhnə tikili,6 / 9,110 m²,4,var,140000,"Yasamal r.,Yeni Yasamal q.",40.39994833283241,Bakı,49.79903404235839,30 Oktyabr 2022 ,var,var
Yeni tikili,3 / 16,88 m²,3,,145000,"Neapol dairəsi ,Əhmədli m.,Xətai r.,Əhmədli q.",40.37041645360539,Bakı,49.95307445526123,11 Noyabr 2022 ,,
Yeni tikili,11 / 18,170 m²,3,var,330000,"Zabitlər parkı ,Nizami m.,Yasamal r.",40.4053327515815,Bakı,49.81380344106,05 Dekabr 2022 ,var,var
Yeni tikili,8 / 17,70 m²,2,yoxdur,137000,"Qara Qarayev m.,Nizami r.",40.37024250177031,Bakı,49.97394200996779,16 Oktyabr 2022 ,,
Yeni tikili,11 / 17,170 m²,3,var,335000,"Dövlət Statistika Komitəsi ,Nizami m.,Yasamal r.",40.4053327515815,Bakı,49.81380344106,31 Oktyabr 2022 ,,
Yeni tikili,6 / 16,100 m²,3,yoxdur,220000,"Gənclik m.,Respublika stadionu ,Nərimanov r.",40.40027766320492,Bakı,49.84006762504578,07 Dekabr 2022 ,,
Yeni tikili,10 / 16,52 m²,2,yoxdur,98000,Nizami r.,40.39989258617802,Bakı,49.83979431395813,30 Oktyabr 2022 ,,
Yeni tikili,1 / 17,50 m²,2,var,88000,"20 Yanvar m.,Yasamal r.",40.37649764183499,Bakı,49.84163403511051,30 Oktyabr 2022 ,,
Yeni tikili,13 / 14,65 m²,2,var,122000,"Xətai r.,Əhmədli q.",40.41130678064476,Bakı,49.94813919067383,30 Oktyabr 2022 ,,
Köhnə tikili,3 / 5,60 m²,2,var,130000,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.40481309592228,Bakı,49.86986696720127,30 Oktyabr 2022 ,,
Yeni tikili,8 / 17,85 m²,2,var,120000,"Neftçilər m.,Nizami r.,8-ci kilometr q.",40.4107382,Bakı,49.9384708,02 Noyabr 2022 ,,
Yeni tikili,14 / 16,130 m²,3,yoxdur,140000,"Yasamal r.,Yeni Yasamal q.",40.3949340187328,Bakı,49.79021072387695,30 Oktyabr 2022 ,,
Yeni tikili,9 / 13,82 m²,2,yoxdur,99000,Xətai r.,40.36115971126519,Bakı,49.94802338066049,30 Oktyabr 2022 ,,
Köhnə tikili,3 / 5,90 m²,3,var,189000,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.40210780478213,Bakı,49.85758781433109,20 Fevral 2023 ,var,var
Yeni tikili,15 / 16,100 m²,2,yoxdur,171000,"Neftçilər m.,Nizami r.",40.37742938831814,Bakı,49.80915784835819,21 Noyabr 2022 ,,
Yeni tikili,2 / 12,57 m²,1,var,57000,Abşeron r.,40.45511190000001,Xırdalan,49.74459389999993,30 Oktyabr 2022 ,,
Yeni tikili,20 / 21,110 m²,3,var,128000,"Yasamal r.,Yeni Yasamal q.",40.38274990424748,Bakı,49.8084390163422,30 Oktyabr 2022 ,var,var
Yeni tikili,9 / 17,65 m²,2,var,154000,"Təhsil Nazirliyi ,Nərimanov r.",40.39350581014885,Bakı,49.86302585070158,30 Oktyabr 2022 ,var,var
Köhnə tikili,2 / 5,60 m²,2,var,93000,"Zərifə Əliyeva adına park ,Nəsimi r.,4-cü mikrorayon q.",40.39414959485713,Bakı,49.7993946075439,30 Oktyabr 2022 ,,
Köhnə tikili,5 / 5,80 m²,3,var,72000,Şirvan,39.93547364742803,Şirvan,48.90761375427246,30 Oktyabr 2022 ,,
Yeni tikili,6 / 27,180 m²,4,var,430000,Yasamal r.,40.39203732471822,Bakı,49.84165549278259,30 Oktyabr 2022 ,,
Yeni tikili,14 / 16,55 m²,2,yoxdur,43000,Abşeron r.,40.37024250177031,Xırdalan,49.97394200996779,24 Fevral 2023 ,,
Yeni tikili,7 / 14,86.5 m²,2,yoxdur,86500,"Dərnəgül m.,Binəqədi r.,8-ci mikrorayon q.",40.42091440000002,Bakı,49.85488162707521,05 Oktyabr 2022 ,,
Yeni tikili,5 / 13,210 m²,5,var,430000,"Zoopark ,Dostluq kinoteatrı ,Koala parkı ,Nərimanov r.",40.39989258617802,Bakı,49.83979431395813,30 Oktyabr 2022 ,var,var
Yeni tikili,13 / 19,66 m²,2,yoxdur,139000,Nizami r.,40.4087847,Bakı,49.92876260000003,30 Oktyabr 2022 ,,
Yeni tikili,15 / 17,85 m²,3,var,148000,Yasamal r.,40.40210780478213,Bakı,49.85758781433109,30 Oktyabr 2022 ,var,var
Yeni tikili,9 / 19,110 m²,3,var,150000,Nizami r.,40.37520939853896,Bakı,49.84099855135474,30 Oktyabr 2022 ,yoxdur,var
Yeni tikili,9 / 12,44 m²,1,,56500,"Şah İsmayıl Xətai m.,Xətai r.",40.3843596,Bakı,49.87381000000005,30 Oktyabr 2022 ,,
Köhnə tikili,4 / 5,48 m²,2,var,95000,"Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.",40.41762423422719,Bakı,49.81273153949509,26 Oktyabr 2022 ,,
Yeni tikili,9 / 10,60 m²,2,var,162000,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.,Yasamal q.",40.3839039,Bakı,49.79972640000005,30 Oktyabr 2022 ,,
Yeni tikili,4 / 18,65 m²,2,yoxdur,165000,Binəqədi r.,40.39205366748811,Bakı,49.84065234661102,15 Dekabr 2022 ,,
Yeni tikili,7 / 17,165 m²,3,var,300000,Nərimanov r.,40.40011603328774,Bakı,49.83917601637808,26 Yanvar 2023 ,var,var
Yeni tikili,1 / 18,65 m²,2,var,117000,Nizami r.,40.37742938831814,Bakı,49.80915784835819,27 Noyabr 2022 ,,
Yeni tikili,15 / 19,95 m²,3,var,215000,"İnşaatçılar m.,Yasamal r.,Yasamal q.",40.38758136343031,Bakı,49.80536976255152,30 Oktyabr 2022 ,var,var
Yeni tikili,3 / 17,63 m²,2,var,110000,"Zərifə Əliyeva adına park ,Binəqədi r.,9-cu mikrorayon q.",40.39414959485713,Bakı,49.7993946075439,30 Oktyabr 2022 ,,
Yeni tikili,3 / 17,105 m²,3,var,248900,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.36942330420567,Bakı,49.82101321220402,19 Dekabr 2022 ,var,var
Yeni tikili,11 / 18,120 m²,3,var,195000,"Rəssamlıq Akademiyası ,Nərimanov r.",40.38816806232006,Bakı,49.83243942260742,01 Dekabr 2022 ,,
Yeni tikili,15 / 17,147 m²,3,yoxdur,198000,Səbail r.,40.40952590477563,Bakı,49.84445571899418,30 Oktyabr 2022 ,,
Yeni tikili,4 / 15,320 m²,5,var,707200,"Mərkəzi Univermaq ,M.Ə.Sabir parkı ,Fontanlar bağı ,İqsadiyyat Universiteti ,Azərbaycan kinoteatrı ,Axundov bağı ,İçəri Şəhər m.,Səbail r.",40.40554735588255,Bakı,49.87506508827209,02 Fevral 2023 ,,
Yeni tikili,7 / 15,330 m²,6,var,650000,"Zabitlər parkı ,Sirk ,Nəsimi r.",40.38429674739401,Bakı,49.83622508210713,30 Oktyabr 2022 ,var,var
Yeni tikili,14 / 17,180 m²,4,var,470000,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.4007188626008,Bakı,49.84215974807739,05 Yanvar 2023 ,,
Yeni tikili,2 / 17,142 m²,4,var,348000,"Tibb Universiteti ,Nəsimi r.",40.36942330420567,Bakı,49.82101321220402,15 Fevral 2023 ,,
Yeni tikili,4 / 19,185 m²,4,var,330000,"Səməd Vurğun parkı ,28 May m.,Nəsimi r.",40.37998753828459,Bakı,49.85486268997196,05 Dekabr 2022 ,,
Yeni tikili,5 / 19,130 m²,3,var,215000,Nərimanov r.,40.4000205111698,Bakı,49.88401722448338,30 Oktyabr 2022 ,,
Yeni tikili,15 / 16,44 m²,1,var,150000,Nərimanov r.,40.38264366149726,Bakı,49.87209320068359,30 Oktyabr 2022 ,,
Yeni tikili,13 / 17,114 m²,3,var,209000,Binəqədi r.,40.39205366748811,Bakı,49.84065234661102,30 Oktyabr 2022 ,,
Yeni tikili,7 / 14,54.2 m²,1,yoxdur,128000,"Tibb Universiteti ,Park Zorge ,Rusiya səfirliyi ,Nəsimi r.",40.38816806232006,Bakı,49.83243942260742,29 Noyabr 2022 ,,
Yeni tikili,5 / 17,150 m²,3,var,348000,"Azərbaycan turizm institutu ,Təhsil Nazirliyi ,Nərimanov r.",40.38873191798482,Bakı,49.95395421981815,30 Oktyabr 2022 ,,
Yeni tikili,4 / 16,122 m²,3,yoxdur,224500,"Bakı Slavyan Universiteti ,Azərbaycan Dillər Universiteti ,28 May m.,Nəsimi r.",40.39989258617802,Bakı,49.83979431395813,02 Noyabr 2022 ,,
Yeni tikili,15 / 17,75 m²,2,yoxdur,126900,"Qara Qarayev m.,Nizami r.",40.41756419514157,Bakı,49.93401436525117,10 Dekabr 2022 ,,
Yeni tikili,8 / 15,72 m²,1,yoxdur,116500,"28 May m.,Bakı Slavyan Universiteti ,Nəsimi r.",40.38353974463234,Bakı,49.84948347724511,30 Oktyabr 2022 ,,
Yeni tikili,5 / 17,150 m²,3,var,348000,"Təhsil Nazirliyi ,Nərimanov r.",40.40011603328774,Bakı,49.83917601637808,03 Dekabr 2022 ,var,var
Yeni tikili,4 / 18,65 m²,2,yoxdur,141900,"Azadlıq Prospekti m.,Binəqədi r.",40.37024250177031,Bakı,49.97394200996779,21 Oktyabr 2022 ,,
Yeni tikili,11 / 19,82.5 m²,2,yoxdur,255000,"Bayıl parkı ,Səbail r.,Bayıl q.",40.3497833,Bakı,49.83144970000001,30 Oktyabr 2022 ,,
Yeni tikili,8 / 10,165 m²,4,var,245000,"Binəqədi r.,8-ci mikrorayon q.",40.42527440160644,Bakı,49.85134363174438,30 Oktyabr 2022 ,,
Yeni tikili,4 / 16,77 m²,2,var,180000,Nərimanov r.,40.38264366149726,Bakı,49.87209320068359,30 Oktyabr 2022 ,,
Yeni tikili,12 / 17,81 m²,2,var,127000,Səbail r.,40.39989258617802,Bakı,49.83979431395813,30 Oktyabr 2022 ,var,var
Yeni tikili,6 / 7,175 m²,4,var,330000,Nəsimi r.,40.37738239264175,Bakı,49.82495069503784,07 Mart 2023 ,,
Yeni tikili,16 / 17,150 m²,4,var,187500,"Həzi Aslanov m.,Xətai r.,Həzi Aslanov q.",40.40011603328774,Bakı,49.83917601637808,30 Oktyabr 2022 ,var,var
Yeni tikili,10 / 17,120 m²,3,var,300000,"Sirk ,Zabitlər parkı ,Azərbaycan Dillər Universiteti ,Qış parkı ,Bakı Slavyan Universiteti ,Nəsimi r.",40.38341187453192,Bakı,49.82710719108582,30 Oktyabr 2022 ,,
Yeni tikili,8 / 19,67.7 m²,1,yoxdur,89900,Nizami r.,40.38816806232006,Bakı,49.83243942260742,13 Noyabr 2022 ,,
Yeni tikili,15 / 15,160 m²,3,var,260000,"TQDK ,ASAN Xidmət №1 ,Neftçi bazası ,Nəsimi r.",40.40952590477563,Bakı,49.84445571899418,18 Yanvar 2023 ,,
Yeni tikili,6 / 7,115 m²,2,var,130000,Sabunçu r.,40.39816149998397,Bakı,49.84086155891422,30 Oktyabr 2022 ,,
Köhnə tikili,5 / 5,120 m²,5,var,140000,"Həzi Aslanov m.,Xətai r.",40.37104456957248,Bakı,49.95549254560103,24 Noyabr 2022 ,,
Yeni tikili,16 / 17,136.2 m²,3,yoxdur,251970,Nərimanov r.,40.38264366149726,Bakı,49.87209320068359,30 Oktyabr 2022 ,,
Yeni tikili,7 / 16,93 m²,2,yoxdur,74000,Binəqədi r.,40.47315307320181,Bakı,49.82310906085205,18 Noyabr 2022 ,,
Köhnə tikili,3 / 6,83 m²,3,var,193000,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.37024250177031,Bakı,49.97394200996779,27 Noyabr 2022 ,,
Köhnə tikili,4 / 9,120 m²,4,yoxdur,208000,Binəqədi r.,40.40011603328774,Bakı,49.83917601637808,30 Oktyabr 2022 ,,
Yeni tikili,12 / 13,110.5 m²,3,var,175000,"Xalqlar Dostluğu m.,Xətai r.,Əhmədli q.",40.39302892577221,Bakı,49.9557039179688,03 Fevral 2023 ,,
Yeni tikili,14 / 15,153 m²,3,,340000,"8 Noyabr m.,Nəsimi r.",40.39677903345345,Bakı,49.81652970350243,30 Oktyabr 2022 ,,
Köhnə tikili,5 / 5,117 m²,4,var,143000,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.,Yasamal q.",40.38274990424748,Bakı,49.8084390163422,30 Oktyabr 2022 ,var,var
Yeni tikili,25 / 27,148 m²,3,yoxdur,350000,Yasamal r.,40.38264366149726,Bakı,49.87209320068359,30 Oktyabr 2022 ,,
Köhnə tikili,2 / 5,70 m²,3,var,110000,"Xalqlar Dostluğu m.,Nizami r.",40.37104456957248,Bakı,49.95549254560103,30 Oktyabr 2022 ,,
Köhnə tikili,2 / 9,135 m²,5,var,180000,"20 Yanvar m.,Nəsimi r.",40.39989258617802,Bakı,49.83979431395813,30 Oktyabr 2022 ,var,var
Yeni tikili,11 / 14,135 m²,4,yoxdur,220000,"Əhmədli m.,Xətai r.,Əhmədli q.",40.3816452,Bakı,49.95845050000003,30 Oktyabr 2022 ,,
Yeni tikili,12 / 18,185 m²,4,yoxdur,353000,"Səməd Vurğun parkı ,Port Baku ,28 May m.,Nəsimi r.",40.38525881895442,Bakı,49.85801696777344,30 Oktyabr 2022 ,,
Yeni tikili,1 / 20,50 m²,2,yoxdur,85000,"Xətai r.,Həzi Aslanov q.",40.38873191798482,Bakı,49.95395421981815,20 Oktyabr 2022 ,,
Yeni tikili,9 / 20,103 m²,2,var,138000,"Yasamal r.,Yasamal q.",40.40952590477563,Bakı,49.84445571899418,06 Yanvar 2023 ,yoxdur,var
Yeni tikili,7 / 15,118 m²,3,yoxdur,185000,"Nəriman Nərimanov m.,Nərimanov r.",40.37024250177031,Bakı,49.97394200996779,03 Dekabr 2022 ,,
Yeni tikili,13 / 17,73 m²,2,var,110000,"Binəqədi r.,9-cu mikrorayon q.",40.42793349999999,Bakı,49.81359980000002,28 Oktyabr 2022 ,var,var
Yeni tikili,3 / 13,195 m²,3,var,276000,Binəqədi r.,40.40011603328774,Bakı,49.83917601637808,30 Oktyabr 2022 ,var,var
Yeni tikili,10 / 12,62 m²,2,var,92000,"Ukrayna dairəsi ,Əhmədli m.,Xətai r.,Əhmədli q.",40.38059909308434,Bakı,49.95410174730002,30 Oktyabr 2022 ,,
Yeni tikili,17 / 17,110 m²,3,var,169500,Nizami r.,40.40011603328774,Bakı,49.83917601637808,30 Oktyabr 2022 ,var,var
Yeni tikili,13 / 18,123 m²,3,var,169999,"20 Yanvar m.,Yasamal r.",40.4053327515815,Bakı,49.81380344106,30 Oktyabr 2022 ,yoxdur,var
Yeni tikili,9 / 21,145 m²,4,var,245000,Yasamal r.,40.39298300258589,Bakı,49.95403544813546,30 Oktyabr 2022 ,,
Köhnə tikili,9 / 9,82 m²,3,var,125000,"Həzi Aslanov m.,Xətai r.",40.37104456957248,Bakı,49.95549254560103,30 Oktyabr 2022 ,,
Yeni tikili,14 / 17,102 m²,3,var,235000,Nərimanov r.,40.4053327515815,Bakı,49.81380344106,01 Oktyabr 2022 ,var,var
Köhnə tikili,4 / 9,90 m²,4,var,175000,"Xalqlar Dostluğu m.,Nizami r.",40.39816149998397,Bakı,49.84086155891422,30 Oktyabr 2022 ,var,var
Köhnə tikili,5 / 9,85 m²,3,var,170000,"Ayna Sultanova heykəli ,Nərimanov r.",40.38873191798482,Bakı,49.95395421981815,23 Dekabr 2022 ,,
Yeni tikili,11 / 18,150 m²,3,var,360000,"Qış parkı ,Nizami kinoteatrı ,Milli Konservatoriya ,Bakı Musiqi Akademiyası ,Sahil m.,Nəsimi r.",40.39414959485713,Bakı,49.7993946075439,16 Mart 2023 ,,
Yeni tikili,10 / 18,157 m²,3,var,139900,Xətai r.,40.38816806232006,Bakı,49.83243942260742,21 Yanvar 2023 ,yoxdur,var
Yeni tikili,13 / 13,95 m²,3,var,119500,"Abşeron r.,Masazır q.",40.4053327515815,Bakı,49.81380344106,30 Oktyabr 2022 ,var,var
Yeni tikili,11 / 20,103 m²,3,var,145000,"Yasamal r.,Yasamal q.",40.40952590477563,Bakı,49.84445571899418,21 Yanvar 2023 ,yoxdur,var
Yeni tikili,10 / 10,104 m²,3,yoxdur,140000,"Xətai r.,Həzi Aslanov q.",40.38873191798482,Bakı,49.95395421981815,30 Oktyabr 2022 ,,
Köhnə tikili,2 / 5,80 m²,3,var,130000,"28 May m.,Neft Akademiyası ,Bakı Musiqi Akademiyası ,Səməd Vurğun parkı ,Milli Konservatoriya ,Nəsimi r.",40.37986494545423,Bakı,49.84853267669678,30 Oktyabr 2022 ,,
Yeni tikili,6 / 17,62 m²,2,var,121000,"Səbail r.,Bayıl q.",40.3651072257085,Bakı,49.81950849294662,30 Oktyabr 2022 ,,
Köhnə tikili,2 / 9,55 m²,2,var,65000,"Xalqlar Dostluğu m.,Suraxanı r.,Yeni Günəşli q.",40.39761835243859,Bakı,49.9526832962036,30 Oktyabr 2022 ,,
Köhnə tikili,2 / 10,90 m²,3,var,265000,"Fontanlar bağı ,Mərkəzi Univermaq ,Azərbaycan kinoteatrı ,M.Ə.Sabir parkı ,Sahil m.,Səbail r.",40.36942330420567,Bakı,49.82101321220402,16 Mart 2023 ,,
Köhnə tikili,1 / 9,65 m²,3,var,80000,"Xətai r.,Həzi Aslanov q.",40.3807186,Bakı,49.92525120000005,30 Oktyabr 2022 ,,
Köhnə tikili,3 / 5,76 m²,3,,133000,"Azadlıq Prospekti m.,Binəqədi r.,7-ci mikrorayon q.",40.42582162239116,Bakı,49.84185907491315,30 Oktyabr 2022 ,,
Yeni tikili,10 / 17,95 m²,2,yoxdur,209000,"Azərbaycan turizm institutu ,Nərimanov r.",40.39414959485713,Bakı,49.7993946075439,30 Oktyabr 2022 ,,
Yeni tikili,13 / 13,95 m²,3,var,94500,Abşeron r.,40.4053327515815,Bakı,49.81380344106,30 Oktyabr 2022 ,var,var
Yeni tikili,14 / 17,118 m²,3,var,215000,"İnşaatçılar m.,Yasamal r.,Yasamal q.",40.39816149998397,Bakı,49.84086155891422,24 Yanvar 2023 ,,
Yeni tikili,4 / 6,49 m²,2,var,115000,"Tibb Universiteti ,ASAN Xidmət №1 ,Nəsimi r.",40.39045008382347,Bakı,49.830508675731,30 Oktyabr 2022 ,,
Yeni tikili,4 / 12,110 m²,3,yoxdur,285000,"Tibb Universiteti ,Nəsimi r.",40.3863886681378,Bakı,49.80817391355895,30 Oktyabr 2022 ,,
Yeni tikili,5 / 8,34 m²,1,,36000,Abşeron r.,40.48266637396011,Bakı,49.75579261779785,30 Oktyabr 2022 ,,
Yeni tikili,16 / 20,85.5 m²,3,var,98000,"Sabunçu r.,Bakıxanov q.",40.421,Bakı,49.963,30 Oktyabr 2022 ,,
Yeni tikili,5 / 23,90 m²,3,var,179900,"ASAN Xidmət №1 ,Tibb Universiteti ,Neftçi bazası ,Nərimanov r.",40.37024250177031,Bakı,49.97394200996779,04 Noyabr 2022 ,var,var
Köhnə tikili,2 / 9,37 m²,2,var,65000,"Ukrayna dairəsi ,Əhmədli m.,Xətai r.,Əhmədli q.",40.37968179537464,Bakı,49.95785412033895,24 Noyabr 2022 ,,
Köhnə tikili,1 / 9,75 m²,4,var,140000,"Neftçilər m.,Nizami r.,8-ci kilometr q.",40.4107382,Bakı,49.9384708,30 Oktyabr 2022 ,var,var
Yeni tikili,8 / 16,119 m²,3,var,208000,"Nəsimi bazarı ,Tibb Universiteti ,Park Zorge ,ASAN Xidmət №1 ,Nəsimi r.",40.39045008382347,Bakı,49.830508675731,30 Oktyabr 2022 ,,
Yeni tikili,8 / 11,70 m²,2,,64000,Xırdalan,40.4609236054629,Xırdalan,49.72429275512695,30 Oktyabr 2022 ,,
Yeni tikili,8 / 16,95 m²,2,,165000,"Rusiya səfirliyi ,Sevil Qazıyeva parkı ,Park Zorge ,Nəsimi r.",40.39043728374568,Bakı,49.83151393520414,30 Oktyabr 2022 ,,
Yeni tikili,8 / 17,48 m²,1,yoxdur,122000,"Hüseyn Cavid parkı ,Texniki Universiteti ,Elmlər Akademiyası m.,Yasamal r.",40.39584916837152,Bakı,49.85226631164551,30 Oktyabr 2022 ,,
Köhnə tikili,3 / 4,66 m²,2,var,161000,"Şah İsmayıl Xətai m.,Xətai r.",40.3824309054561,Bakı,49.86501235443122,30 Oktyabr 2022 ,,
Köhnə tikili,4 / 5,38 m²,2,,98000,"Səməd Vurğun parkı ,Azadlıq meydanı ,28 May m.,Nəsimi r.",40.39197603929571,Bakı,49.80684041976929,30 Oktyabr 2022 ,,
Yeni tikili,2 / 14,61 m²,2,var,102000,"Səbail r.,Badamdar q.",40.34279392260717,Bakı,49.80990391697991,30 Oktyabr 2022 ,var,var
Yeni tikili,15 / 15,68 m²,2,var,130000,"Səbail r.,Badamdar q.",40.34282663203231,Bakı,49.81029015507806,30 Oktyabr 2022 ,var,var
Yeni tikili,3 / 15,64.3 m²,2,yoxdur,61000,"Suraxanı r.,Yeni Günəşli q.",40.3802880200363,Bakı,49.97633652074013,30 Oktyabr 2022 ,,
Yeni tikili,10 / 12,150 m²,3,,600000,"İncəsənət və Mədəniyyət Un. ,Dövlət Statistika Komitəsi ,Elmlər Akademiyası m.,Yasamal r.",40.3792814473733,Bakı,49.82036529554389,30 Oktyabr 2022 ,,
Köhnə tikili,4 / 5,72 m²,3,var,115000,"Memar Əcəmi m.,Nəsimi r.,3-cü mikrorayon q.",40.39197603929571,Bakı,49.80684041976929,30 Oktyabr 2022 ,,
Köhnə tikili,1 / 9,90 m²,4,var,115000,Xətai r.,40.36819444785662,Bakı,49.96184885333975,30 Oktyabr 2022 ,,
Yeni tikili,8 / 14,65 m²,2,yoxdur,125000,"Səbail r.,Badamdar q.",40.34308830686244,Bakı,49.81054764714349,30 Oktyabr 2022 ,,
Köhnə tikili,3 / 9,65 m²,2,var,104000,"Ayna Sultanova heykəli ,Nərimanov r.",40.42527440160644,Bakı,49.85134363174438,30 Oktyabr 2022 ,,
Yeni tikili,14 / 16,60 m²,2,,115000,"Xətai r.,Əhmədli q.",40.41130678064476,Bakı,49.94813919067383,19 Oktyabr 2022 ,,
Yeni tikili,13 / 16,100 m²,3,,250000,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.40319976117919,Bakı,49.87144345780509,30 Oktyabr 2022 ,,
Yeni tikili,20 / 20,111 m²,3,var,150000,"Xətai r.,Əhmədli q.",40.3679082827185,Bakı,49.96067591546736,30 Oktyabr 2022 ,,
Yeni tikili,9 / 13,61 m²,2,yoxdur,63000,"Abşeron r.,Masazır q.",40.4863862589478,Bakı,49.75864679895015,30 Oktyabr 2022 ,,
Yeni tikili,15 / 17,87 m²,2,var,133000,"Yasamal r.,Yeni Yasamal q.",40.3869758541318,Bakı,49.78815370960579,30 Oktyabr 2022 ,,
Yeni tikili,5 / 16,65 m²,2,yoxdur,118000,"Xətai r.,Əhmədli q.",40.41130678064476,Bakı,49.94813919067383,30 Oktyabr 2022 ,,
Köhnə tikili,2 / 5,57 m²,2,,87000,"Memar Əcəmi m.,Nəsimi r.,3-cü mikrorayon q.",40.37224740672736,Bakı,49.81613159179691,30 Oktyabr 2022 ,,
Yeni tikili,20 / 22,123 m²,3,var,180000,Yasamal r.,40.41276253593271,Bakı,49.80122843704839,30 Oktyabr 2022 ,,
Yeni tikili,15 / 19,75 m²,2,yoxdur,118000,"Neftçilər m.,Nizami r.",40.40366828798837,Bakı,49.87215757369995,30 Oktyabr 2022 ,,
Yeni tikili,14 / 17,95 m²,3,var,239000,"Şərq bazarı ,Nərimanov r.",40.38871011764894,Bakı,49.85725170031019,03 Noyabr 2022 ,,
Köhnə tikili,4 / 5,72 m²,3,var,115000,"Memar Əcəmi m.,Nəsimi r.,3-cü mikrorayon q.",40.37224740672736,Bakı,49.81613159179691,30 Oktyabr 2022 ,,
Yeni tikili,5 / 19,64 m²,2,,130000,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.,Yasamal q.",40.3839039,Bakı,49.79972640000005,30 Oktyabr 2022 ,,
Yeni tikili,17 / 19,141 m²,3,var,215000,"Şərq bazarı ,Nərimanov r.",40.38868531851731,Bakı,49.85226353172561,30 Oktyabr 2022 ,,
Yeni tikili,14 / 17,54 m²,2,yoxdur,82000,"Suraxanı r.,Massiv A q.",40.41130678064476,Bakı,49.94813919067383,30 Oktyabr 2022 ,,
Yeni tikili,1 / 12,51.4 m²,2,var,92000,"Yasamal r.,Yeni Yasamal q.",40.39195090428109,Bakı,49.79097103903298,06 Oktyabr 2022 ,,
Yeni tikili,17 / 17,100 m²,3,var,175000,"Binəqədi r.,8-ci mikrorayon q.",40.37620916175648,Bakı,49.81580107043555,03 Mart 2023 ,,
Yeni tikili,16 / 17,60 m²,2,var,108000,"Əhmədli m.,Xətai r.,Əhmədli q.",40.41130678064476,Bakı,49.94813919067383,19 Oktyabr 2022 ,,
Yeni tikili,17 / 18,66 m²,3,var,108000,"Əhmədli m.,Xətai r.,Əhmədli q.",40.41130678064476,Bakı,49.94813919067383,19 Oktyabr 2022 ,,
Yeni tikili,13 / 16,68.6 m²,2,yoxdur,64500,Xırdalan,40.44920079257679,Xırdalan,49.74359281903651,30 Oktyabr 2022 ,yoxdur,var
Yeni tikili,9 / 16,103 m²,3,yoxdur,180000,"Xalqlar Dostluğu m.,Nizami r.,8-ci kilometr q.",40.41130678064476,Bakı,49.94813919067383,30 Oktyabr 2022 ,,
Yeni tikili,15 / 19,99 m²,3,yoxdur,175000,"Xətai r.,Əhmədli q.",40.41130678064476,Bakı,49.94813919067383,30 Oktyabr 2022 ,,
Köhnə tikili,5 / 9,65 m²,2,var,93000,"Xətai r.,Köhnə Günəşli q.",40.41130678064476,Bakı,49.94813919067383,30 Oktyabr 2022 ,,
