,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,price-cur,locations,latitude,city,longtitude,id,date,İpoteka,Təmir
70,Yeni tikili,17 / 17,60 m²,1,,61000,AZN,Nizami r.,40.40992866923028,Bakı,49.9366116351303,2735212,19 Oktyabr 2022 ,,
71,Köhnə tikili,3 / 9,110 m²,4,,150000,AZN,"Yasamal r.,Yeni Yasamal q.",40.37620916175648,Bakı,49.81580107043555,2736036,11 Yanvar 2023 ,,
72,Yeni tikili,11 / 16,133 m²,3,,180000,AZN,"Zərifə Əliyeva adına park ,Nəsimi m.,Binəqədi r.,6-cı mikrorayon q.",40.40761426997893,Bakı,49.80840682983398,2737116,04 Oktyabr 2022 ,,
73,Yeni tikili,10 / 18,204 m²,4,,350000,AZN,"Bakı Slavyan Universiteti ,Azərbaycan Dillər Universiteti ,Sirk ,28 May m.,Nəsimi r.",40.38287249182799,Bakı,49.84301805496216,2738190,26 Fevral 2023 ,,
74,Köhnə tikili,3 / 5,170 m²,3,,350000,AZN,"Səməd Vurğun parkı ,Azadlıq meydanı ,28 May m.,Nəsimi r.",40.41932422288878,Bakı,49.92522239685059,2741108,15 Oktyabr 2022 ,,
75,Yeni tikili,4 / 20,82 m²,3,,120000,AZN,"Yasamal r.,Yeni Yasamal q.",40.39414959485713,Bakı,49.7993946075439,2742441,07 Dekabr 2022 ,,
76,Yeni tikili,12 / 16,164 m²,4,var,285000,AZN,"Azadlıq Prospekti m.,Binəqədi r.",40.37533198376934,Bakı,49.81793688867354,2743077,22 Oktyabr 2022 ,,
77,Yeni tikili,3 / 16,140 m²,3,var,145000,AZN,Binəqədi r.,40.39980377915154,Bakı,49.86642837524414,2745042,25 Dekabr 2022 ,,
78,Yeni tikili,9 / 18,70 m²,2,,105000,AZN,"Yasamal r.,Yeni Yasamal q.",40.41934464307053,Bakı,49.92526531219486,2747342,24 Oktyabr 2022 ,,
79,Yeni tikili,1 / 16,101.6 m²,3,var,182880,AZN,"20 Yanvar m.,Yasamal r.,Yasamal q.",40.39778564936721,Bakı,49.80834245681763,2748032,15 Noyabr 2022 ,,
80,Yeni tikili,14 / 20,58.6 m²,1,yoxdur,142398,AZN,"ASAN Xidmət №1 ,Nəsimi bazarı ,Neftçi bazası ,TQDK ,Nərimanov r.",40.39803076957264,Bakı,49.83858704566956,2748999,29 Dekabr 2022 ,,
81,Yeni tikili,12 / 13,205 m²,4,var,510000,AZN,"Nizami m.,Zabitlər parkı ,Yasamal r.,Yasamal q.",40.37620916175648,Bakı,49.81580107043555,2749013,18 Mart 2023 ,,
82,Yeni tikili,14 / 20,164.5 m²,4,yoxdur,342160,AZN,"ASAN Xidmət №1 ,Nəsimi bazarı ,Neftçi bazası ,TQDK ,Nərimanov r.",40.39803076957264,Bakı,49.83858704566956,2749093,29 Dekabr 2022 ,var,yoxdur
