,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,İpoteka,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date
195,Yeni tikili,9 / 16,128 m²,3,var,,,270000,AZN,"Tibb Universiteti ,ASAN Xidmət №1 ,Nəsimi r.",40.39203732471822,Bakı,49.84165549278259,3102890,16 Dekabr 2022 
196,Yeni tikili,12 / 18,52 m²,1,yoxdur,,,130000,AZN,"Azərbaycan turizm institutu ,Nərimanov r.",40.41932422288878,Bakı,49.92522239685059,3102893,10 Mart 2023 
197,Yeni tikili,5 / 17,75 m²,2,yoxdur,,,125000,AZN,"Təhsil Nazirliyi ,Azərbaycan turizm institutu ,Nərimanov r.",40.39550566772503,Bakı,49.86070682434524,3102911,16 Dekabr 2022 
198,Yeni tikili,7 / 17,109 m²,2,var,,,185000,AZN,"20 Yanvar m.,Memar Əcəmi m.,Nəsimi r.,1-ci mikrorayon q.",40.40811518836301,Bakı,49.80914449720661,3102932,16 Dekabr 2022 
199,Köhnə tikili,2 / 8,90 m²,3,,,,250000,AZN,"İqsadiyyat Universiteti ,Axundov bağı ,M.Ə.Sabir parkı ,Mərkəzi Univermaq ,Dövlət İdarəçilik Akademiyası ,İçəri Şəhər m.,Qubernator parkı ,Səbail r.",40.3769019868296,Bakı,49.84521518028816,3102956,16 Dekabr 2022 
200,Köhnə tikili,3 / 4,110 m²,4,var,,,380000,AZN,"Azərbaycan kinoteatrı ,İçəri Şəhər ,Fontanlar bağı ,M.Ə.Sabir parkı ,Azneft meydanı ,İçəri Şəhər m.,Səbail r.",40.37104456957248,Bakı,49.95549254560103,3102982,16 Dekabr 2022 
201,Yeni tikili,17 / 22,80 m²,2,var,var,var,160000,AZN,"İnşaatçılar m.,Yasamal r.",40.38960322000366,Bakı,49.80243658050631,3102985,14 Mart 2023 
202,Yeni tikili,10 / 17,164 m²,4,var,var,yoxdur,330000,AZN,"Səbail r.,Bayıl q.",40.34212965151811,Bakı,49.8366853719971,3103019,07 Fevral 2023 
203,Yeni tikili,7 / 18,136 m²,4,var,var,var,185000,AZN,"Yasamal r.,Yeni Yasamal q.",40.39189181087041,Bakı,49.78916351318359,3103033,16 Dekabr 2022 
204,Yeni tikili,13 / 14,205 m²,4,var,var,var,550000,AZN,"8 Noyabr m.,Nəsimi r.",40.38855213843042,Bakı,49.87120270729065,3103034,16 Dekabr 2022 
205,Yeni tikili,3 / 18,45 m²,2,var,var,var,102000,AZN,"20 Yanvar m.,Yasamal r.",40.39769745269385,Bakı,49.80573454819341,3103035,16 Dekabr 2022 
206,Yeni tikili,2 / 17,70 m²,2,var,var,var,150000,AZN,"Nəriman Nərimanov parkı ,Nəriman Nərimanov m.,Nərimanov r.",40.4053327515815,Bakı,49.81380344106,3103037,16 Dekabr 2022 
207,Yeni tikili,18 / 19,78 m²,2,yoxdur,,,168000,AZN,"Nəsimi bazarı ,Nəsimi r.",40.40210780478213,Bakı,49.85758781433109,3103064,30 Yanvar 2023 
208,Yeni tikili,14 / 17,95 m²,3,yoxdur,,,229000,AZN,"Nəsimi bazarı ,Nəsimi r.",40.38218599850386,Bakı,49.81046676635742,3103067,02 Dekabr 2022 
209,Köhnə tikili,5 / 7,97 m²,3,var,,,230000,AZN,"Beşmərtəbə ,Mərkəzi Univermaq ,Nizami m.,Nəsimi r.",40.38855213843042,Bakı,49.87120270729065,3103101,16 Dekabr 2022 
210,Yeni tikili,2 / 4,126 m²,4,yoxdur,,,129900,AZN,"Binəqədi r.,9-cu mikrorayon q.",40.39045008382347,Bakı,49.830508675731,3103126,22 Dekabr 2022 
211,Yeni tikili,15 / 15,85 m²,2,,,,105000,AZN,"Yasamal r.,Yeni Yasamal q.",40.39414959485713,Bakı,49.7993946075439,3103145,16 Dekabr 2022 
212,Yeni tikili,5 / 18,115 m²,2,var,,,240000,AZN,"Nəsimi bazarı ,TQDK ,Nəsimi r.",40.38525881895442,Bakı,49.85801696777344,3103176,16 Dekabr 2022 
213,Yeni tikili,8 / 11,135 m²,3,var,,,117000,AZN,Yasamal r.,40.39414959485713,Bakı,49.7993946075439,3103182,16 Dekabr 2022 
214,Yeni tikili,6 / 14,125 m²,3,var,var,var,225000,AZN,"Qara Qarayev m.,Nizami r.,8-ci kilometr q.",40.40828416527557,Bakı,49.87069845199589,3103198,16 Dekabr 2022 
215,Yeni tikili,9 / 14,51 m²,2,yoxdur,,,115000,AZN,"Qara Qarayev m.,Nizami r.",40.38873191798482,Bakı,49.95395421981815,3103203,16 Dekabr 2022 
216,Yeni tikili,14 / 20,110 m²,3,var,,,175000,AZN,Binəqədi r.,40.37104456957248,Bakı,49.95549254560103,3103217,17 Noyabr 2022 
217,Yeni tikili,7 / 17,210 m²,4,yoxdur,,,298000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.40328327684168,Bakı,49.85078707337379,3103229,23 Yanvar 2023 
218,Köhnə tikili,4 / 9,80 m²,3,var,,,177000,AZN,"Sovetski ,Nərimanov heykəli ,Yasamal r.",40.40210780478213,Bakı,49.85758781433109,3103263,16 Dekabr 2022 
219,Yeni tikili,6 / 9,300 m²,5,var,,,1000000,AZN,"Zoopark ,Nərimanov r.",40.39414959485713,Bakı,49.7993946075439,3103265,16 Dekabr 2022 
